Link ID,Start Node,Start Node Eastings,Start Node Northings,Start Node Latitude,Start Node Longitude,End Node,End Node Eastings,End Node Northings,End Node Latitude,End Node Longitude,Region,Road Type
50019-50018,50019,835803.901,815589.008,22.27916871,114.1723711,50018,835747.625,815588.61,22.2791651,114.1718251,HK,MAJOR ROUTE
50045-50049,50045,833566.611,816541.012,22.28776386,114.1506607,50049,833323.351,816607.564,22.28836447,114.1483,HK,MAJOR ROUTE
50048-893,50048,833272.432,816617.227,22.28845165,114.1478059,893,832738.968,816762.428,22.2897619,114.1426289,HK,MAJOR ROUTE
50049-50048,50049,833323.351,816607.564,22.28836447,114.1483,50048,833272.432,816617.227,22.28845165,114.1478059,HK,MAJOR ROUTE
50058-50045,50058,833814.842,816458.312,22.2870174,114.1530696,50045,833566.611,816541.012,22.28776386,114.1506607,HK,MAJOR ROUTE
50059-50058,50059,833862.7,816441.553,22.28686612,114.153534,50058,833814.842,816458.312,22.2870174,114.1530696,HK,MAJOR ROUTE
50076-7881,50076,836551.318,815844.419,22.28147527,114.1796235,7881,836592.753,815897.731,22.28195671,114.1800256,HK,MAJOR ROUTE
50076-7883,50076,836551.318,815844.419,22.28147527,114.1796235,7883,836596.707,815890.625,22.28189253,114.1800639,HK,MAJOR ROUTE
50078-50079,50078,836298.985,815671.02,22.27990939,114.177175,50079,836349.024,815690.857,22.28008853,114.1776605,HK,MAJOR ROUTE
50079-50076,50079,836349.205,815690.862,22.28008858,114.1776623,50076,836551.318,815844.419,22.28147527,114.1796235,HK,MAJOR ROUTE
50098-50099,50098,836705.363,815357.127,22.27707468,114.1811181,50099,836708.043,815420.557,22.27764749,114.1811441,HK,MAJOR ROUTE
50099-787,50099,836708.043,815420.557,22.27764749,114.1811441,787,836656.904,815755.248,22.28066998,114.180648,HK,MAJOR ROUTE
50106-8212,50106,839816.873,816917.947,22.29116627,114.2113127,8212,839401.015,817147.538,22.29324043,114.2072776,HK,MAJOR ROUTE
50107-50109,50107,839823.434,816928.645,22.29126286,114.2113764,50109,839875.054,816894.55,22.29095486,114.2118772,HK,MAJOR ROUTE
50108-50106,50108,839863.478,816886.033,22.29087797,114.2117649,50106,839816.873,816917.947,22.29116627,114.2113127,HK,MAJOR ROUTE
50109-910,50109,839875.054,816894.55,22.29095486,114.2118772,910,840060.004,816792.63,22.29003406,114.2136717,HK,MAJOR ROUTE
50119-930,50119,840850.736,816287.253,22.28546827,114.2213435,930,840495.49,816655.752,22.28879695,114.2178973,HK,MAJOR ROUTE
50178-50019,50178,836297.644,815654.668,22.27976172,114.177162,50019,835803.901,815589.008,22.27916871,114.1723711,HK,MAJOR ROUTE
50179-50178,50179,836362.957,815673.882,22.27993524,114.1777957,50178,836297.644,815654.668,22.27976172,114.177162,HK,MAJOR ROUTE
78201-88820,78201,835418.623,817893.881,22.29998301,114.1686315,88820,835350.224,818078.55,22.30165065,114.1679676,K,URBAN ROAD
88801-36821,88801,835232.243,819528.557,22.31474503,114.1668217,36821,835268.36,819250.732,22.31223613,114.1671724,K,MAJOR ROUTE
88803-34781,88803,836458.943,818526.587,22.30569693,114.1787275,34781,836398.307,818543.592,22.30585051,114.178139,K,URBAN ROAD
88805-34551,88805,836463.722,818544.811,22.30586151,114.1787738,34551,836573.237,818583.439,22.30621033,114.1798367,K,URBAN ROAD
88806-88807,88806,836421.253,820544.801,22.32392262,114.1783619,88807,836418.558,820503.762,22.32355201,114.1783357,K,URBAN ROAD
88807-3506,88807,836418.558,820503.762,22.32355201,114.1783357,3506,836482.181,819918.657,22.31826816,114.1789532,K,URBAN ROAD
88807-35071,88807,836418.558,820503.762,22.32355201,114.1783357,35071,836398.278,820324.278,22.32193117,114.1781389,K,URBAN ROAD
88810-34212,88810,839314.866,820127.978,22.32015576,114.2064473,34212,839032.263,820399.522,22.32260844,114.2037048,K,MAJOR ROUTE
88812-88827,88812,836747.719,818732.879,22.30755982,114.1815301,88827,836712.602,818694.748,22.30721548,114.1811893,K,URBAN ROAD
88813-888131,88813,839988.562,819731.898,22.3165776,114.2129853,888131,840039.042,819687.873,22.31617992,114.2134751,K,MAJOR ROUTE
88814-888141,88814,841123.667,818587.958,22.3062443,114.2239989,888141,841171.818,818619.044,22.30652489,114.2244663,K,MAJOR ROUTE
88816-888161,88816,837353.75,820779.14,22.3260385,114.1874131,888161,837403.608,820809.184,22.32630978,114.1878971,K,URBAN ROAD
88817-888171,88817,839074.865,821794.406,22.33520499,114.2041208,888171,839124.326,821765.411,22.33494307,114.2046008,K,MAJOR ROUTE
88818-888181,88818,836976.843,818412.791,22.30466915,114.1837536,888181,837009.054,818365.583,22.30424282,114.1840662,K,URBAN ROAD
88819-888191,88819,835948.908,817311.201,22.29472123,114.1737778,888191,835889.633,817306.075,22.29467493,114.1732026,K,URBAN ROAD
88820-888201,88820,835350.224,818078.55,22.30165065,114.1679676,888201,835346.075,818138.176,22.30218911,114.1679273,K,URBAN ROAD
