ID,Easting,Northing,Latitude(DDD.DDDDD),Longitude(DDD.DDDDD)
50178-50019,835803.901,815589.008,22.279168711,114.172371107
50179-50178,836297.644,815654.668,22.279761723,114.17716199
78201-88820,835350.224,818078.55,22.301650654,114.167967575
88801-36821,835268.36,819250.732,22.312236125,114.167172379
88803-34781,836398.307,818543.592,22.305850505,114.17813899
88805-34551,836573.237,818583.439,22.306210325,114.179836699
88806-88807,836418.558,820503.762,22.323552013,114.178335716
88807-3506,836482.181,819918.657,22.318268162,114.178953177
88807-35071,836398.278,820324.278,22.321931169,114.178138858
88810-34212,839032.263,820399.522,22.322608444,114.203704825
88812-88827,836712.602,818694.748,22.307215482,114.181189275
88813-888131,840039.042,819687.873,22.316179918,114.213475135
88814-888141,841171.818,818619.044,22.306524893,114.224466294
88816-888161,837403.608,820809.184,22.326309783,114.187897081
88817-888171,839124.326,821765.411,22.334943068,114.204600847
88818-888181,837009.054,818365.583,22.304242819,114.184066226
88819-888191,835889.633,817306.075,22.294674929,114.173202581
88820-888201,835346.075,818138.176,22.302189111,114.167927276
88821-888211,837668.17,820248.692,22.321248014,114.190464546
88822-888221,835058.429,819127.715,22.311125073,114.165134991
88824-34372,837354.848,819455.342,22.314083818,114.187422872
88825-3484,836273.929,819369.685,22.31331063,114.176931903
88827-34552,836588.377,818563.869,22.306033593,114.179983629
88827-888303,836748.998,818560.257,22.306000937,114.181542462
888131-3639,840935.412,818601.61,22.306368111,114.222171905
888141-3637,841500.294,818838.784,22.30850831,114.227654896
888151-3633,842093.024,818642.008,22.3067294,114.233406751
888161-3419,837531.387,820885.152,22.326995729,114.189137421
888171-3644,839174.133,821171.9,22.329583236,114.205083247
888181-3715,837030.317,817998.638,22.300929071,114.184272407
888191-3459,835807.883,817301.615,22.294634633,114.172409259
888201-3470,834889.426,818187.326,22.302632662,114.163495556
888211-34221,837768.505,820483.126,22.323365007,114.191438628
888221-3010,835020.456,819072.594,22.31062727,114.164766491
888231-3503,835971.906,819718.872,22.316463973,114.17400054
888241-88824,837662.065,820185.169,22.320674369,114.190405235
888301-3692,834538.393,818512.558,22.30556939,114.160088498
888302-888303,836748.998,818560.257,22.306000937,114.181542462
888303-3453,836694.153,818344.939,22.304056498,114.181010131
991001-992001,839383.2297,831945.6056,22.426875119,114.207133936
991002-992004,839795.1736,831653.3068,22.424234722,114.211134672
991003-992007,840041.9818,830836.9245,22.416861871,114.213530042
991004-992010,839609.108,829631.0478,22.405973113,114.209323126
991005-992013,839389.8365,829488.6599,22.404687693,114.207193289
991006-992016,840085.3499,830006.3124,22.409360942,114.213949272
991007-992019,840502.6709,829629.1446,22.405953949,114.218001375
991008-992022,839939.9847,828917.9914,22.399533179,114.212534945
991009-992025,839639.9199,828119.1577,22.392319922,114.209619168
991010-992028,839748.5206,827817.2041,22.389592909,114.210673132
991011-992031,839806.8037,827625.0576,22.387857607,114.211238683
991012-992034,839714.466,826727.0828,22.379748615,114.210340076
991013-992037,839821.5224,826529.8525,22.377967303,114.21137917
991015-992042,839098.9246,829193.3671,22.402021557,114.204367462
991016-992045,838785.95,828679.9869,22.397385964,114.201327136
991017-992048,838603.3507,828368.5505,22.394573794,114.199553389
991018-992051,837924.3189,827698.4222,22.388522983,114.192958493
991019-992054,837582.6504,827282.3892,22.384766285,114.189640289
991020-992057,837254.1195,826817.052,22.380564268,114.186449802
991021-992060,838517.0735,828012.8675,22.39136191,114.198715034
991022-992063,838797.0151,827138.857,22.383468751,114.201432146
991023-992066,838716.5506,826837.619,22.380748531,114.20065034
991024-992069,838035.007,826088.3828,22.37398337,114.194031572
991025-992072,838226.7133,826698.7152,22.379494787,114.195893742
991026-992075,837644.8515,827211.9955,22.384130544,114.190244232
991027-992078,839398.8817,826782.3659,22.380248456,114.207275815
991028-992083,838926.5662,826492.1503,22.377628454,114.202689061
991029-992084,838923.395,826501.0864,22.377709156,114.202658283
991030-992086,836659.2815,825250.7689,22.366420134,114.180673415
991031-992090,836192.2695,825599.0966,22.369565766,114.176139075
991032-992093,837373.0467,826295.2047,22.375851638,114.187604247
991033-992098,837459.0037,825661.2902,22.370126993,114.188438404
991034-992101,837184.6222,825285.7842,22.36673614,114.185774086
991035-992104,836818.4768,825061.2293,22.364708445,114.182219012
991035-992105,836811.8545,825068.3982,22.364773186,114.182154718
991036-992108,836585.425,824907.8819,22.363323694,114.179956256
991037-992111,836170.017,824525.0533,22.359866569,114.175923078
991038-992114,835890.0467,824309.764,22.35792235,114.173204961
991040-992119,836373.0522,826408.6212,22.376876204,114.177894429
991041-992122,836055.1085,825865.9349,22.371975448,114.174807283
991042-992125,835674.5113,825313.493,22.366986511,114.171112037
991044-992130,836262.9832,826790.0885,22.380321059,114.176825665
991045-992133,835404.9662,826881.0739,22.38114249,114.168494109
991046-992136,835246.0144,826840.1255,22.380772617,114.166950674
991048-992139,823587.3091,836053.8705,22.463930438,114.053668827
991049-992144,823175.8512,834913.9605,22.453633474,114.049680501
991050-992145,823165.6758,834920.9233,22.453696273,114.049581587
991051-992148,823149.6202,834091.534,22.446206411,114.049432445
991052-992151,823693.8437,833414.7083,22.440098466,114.054724788
991053-992154,824264.1649,832925.5673,22.435685401,114.060268762
991054-992157,824679.2074,831518.9393,22.422985771,114.064310731
991055-992160,824467.8497,830406.4575,22.412938099,114.062266027
991056-992163,825193.276,826118.5723,22.374221212,114.06934145
991057-992166,822950.9647,834391.1871,22.448910872,114.047500048
991058-992169,822168.4672,834094.7564,22.446227706,114.039900768
991059-992172,821732.5605,832979.8626,22.436156087,114.035676234
991060-992175,820887.0664,832780.5028,22.434348393,114.027465
991061-992178,819741.3883,833102.6634,22.437246964,114.016332644
991062-992181,818867.9042,833047.3844,22.436739114,114.007848133
991063-992184,818293.611,832409.0671,22.430968903,114.002276622
991064-992187,817571.6781,831543.3901,22.423143737,113.995274177
991065-992190,816668.4696,830694.3031,22.415466016,113.986511662
991066-992193,815966.4901,830327.5068,22.412145512,113.979698308
991067-992196,815706.5987,829082.3819,22.400898386,113.977190218
991068-992199,815656.6346,828396.2775,22.394701953,113.976713857
991069-992202,815788.0094,827894.2193,22.390169712,113.9779961
991070-992205,816156.0456,827004.29,22.382137589,113.981581248
991071-992208,817151.6159,826250.7049,22.375343732,113.991257519
991072-992211,817879.3961,825953.4448,22.372667277,113.998327538
991073-992214,818769.6203,825361.6392,22.367332281,114.006977754
991074-992217,819531.7364,825004.9972,22.364119219,114.014381063
991075-992220,820035.6587,824360.5409,22.358304284,114.019280204
991076-992223,820877.418,824109.0822,22.356041226,114.027454952
991077-992226,822053.6834,824808.8853,22.362370946,114.03886847
