ID,Easting,Northing,Latitude(DDD.DDDDD),Longitude(DDD.DDDDD)
46497-877,837992.283,816985.248,22.291776834,114.193606898
46498-4649,837982.489,816997.558,22.291888011,114.193511869
46499-811,838040.608,817047.877,22.292342364,114.194075916
50018-760,835747.625,815588.61,22.279165101,114.17182505
50019-50018,835803.901,815589.008,22.279168711,114.172371107
50045-50049,833566.611,816541.012,22.287763863,114.150660658
50048-893,833272.432,816617.227,22.288451647,114.147805867
50049-50048,833323.351,816607.564,22.288364471,114.148299994
50058-50045,833814.842,816458.312,22.2870174,114.153069563
50059-50058,833862.7,816441.553,22.286866123,114.15353399
50076-7881,836551.318,815844.419,22.281475272,114.179623482
50076-7883,836551.318,815844.419,22.281475272,114.179623482
50078-50079,836298.985,815671.02,22.279909392,114.177175003
50079-50076,836349.205,815690.862,22.280088576,114.1776623
50098-50099,836705.363,815357.127,22.277074681,114.1811181
50099-787,836708.043,815420.557,22.277647494,114.181144122
50106-8212,839816.873,816917.947,22.291166268,114.211312678
50107-50109,839823.434,816928.645,22.291262864,114.21137637
50108-50106,839863.478,816886.033,22.290877968,114.211764862
50109-910,839875.054,816894.55,22.290954858,114.211877215
50119-930,840850.736,816287.253,22.285468265,114.221343498
50178-50019,836297.644,815654.668,22.279761723,114.17716199
50179-50178,836362.957,815673.882,22.279935235,114.177795738
78201-88820,835418.623,817893.881,22.299983014,114.168631467
88801-36821,835232.243,819528.557,22.314745031,114.166821667
88803-34781,836458.943,818526.587,22.305696933,114.178727462
88805-34551,836463.722,818544.811,22.305861507,114.178773845
88806-88807,836421.253,820544.801,22.32392262,114.178361879
88807-3506,836418.558,820503.762,22.323552013,114.178335716
88807-35071,836418.558,820503.762,22.323552013,114.178335716
88810-34212,839314.866,820127.978,22.320155764,114.206447306
88812-88827,836747.719,818732.879,22.307559819,114.181530102
88813-888131,839988.562,819731.898,22.3165776,114.212985291
88814-888141,841123.667,818587.958,22.306244304,114.22399889
88816-888161,837353.75,820779.14,22.3260385,114.187413117
88817-888171,839074.865,821794.406,22.335204991,114.204120778
88818-888181,836976.843,818412.791,22.304669149,114.183753642
88819-888191,835948.908,817311.201,22.294721232,114.1737778
88820-888201,835350.224,818078.55,22.301650654,114.167967575
88821-888211,837650.4,820182.864,22.320653563,114.190292012
88822-888221,835098.871,819181.09,22.31160711,114.165527458
88824-34372,837662.065,820185.169,22.320674369,114.190405235
88825-3484,836306.663,819564.477,22.315069718,114.177249609
88827-34552,836712.602,818694.748,22.307215482,114.181189275
88827-888303,836712.602,818694.748,22.307215482,114.181189275
888131-3639,840039.042,819687.873,22.316179918,114.213475135
